url_name,zh_name,platinum1,platinum2,platinum3,platinum_avg
jugulus_barbs,喉骨刃者 倒刺,4,4,6
reawaken,再启动,50,55,59
magus_lockdown,魔导·封锁,8,8,9
rubico_prime_set,绝路 Prime 一套,50,60,60
gamma_beacon,Gamma 信标,50,1500,10000
magus_melt,魔导·热熔,7,8,9
masseter_prime_blade,咀嚼金棒 Prime 刀刃,10,10,10
karak_wraith_set,卡拉克·亡魂 一套,70,70,75
nova_prime_chassis_blueprint,Nova Prime 机体 蓝图,60,60,60
mecha_recharge,机甲 充能,6,7,8
primed_ammo_stock,霰弹扩充 Prime,59,65,69
nami_skyla_prime_blueprint,海波斯库拉对剑 Prime 蓝图,5,7,7
neutralize,啃咬压制,15,15,20
primed_smite_grineer,毁灭 Grineer Prime,69,70,70
primed_tactical_pump,战术上膛 Prime,60,69,70
niras_hatred,混沌蛇主之恨,6,7,8
scourge_prime_set,祸根 Prime 一套,59,60,60
rifle_elementalist,步枪元素师,8,8,9
voltaic_strike,伏打电能,60,60,60
secondary_shiver,次要·冷颤,6,7,8
red_veil_armor_set,Red Veil Armor Set,40,50,67
sevagoth_prime_neuroptics_blueprint,Sevagoth Prime 头部神经光元 蓝图,7,7,8
ivara_prime_set,Ivara Prime 一套,60,60,64
shotgun_amp,霰弹枪增幅,5,6,7
prisma_dual_decurions,棱晶·什长双枪,64,65,75
swift_mercy,迅捷怜悯,6,8,9
swooping_falcon,猎鹰俯击,7,9,10
protea_prime_set,Protea Prime 一套,58,60,60
trinity_prime_neuroptics_blueprint,Trinity Prime 头部神经光元 蓝图,9,10,10
tenora_prime_set,双簧管 Prime 一套,55,55,55
astral_autopsy,星界剖解,55,60,70
vile_acceleration,卑劣加速,8,8,8
primed_convulsion,痉挛 Prime,64,64,65
arcane_guardian,赋能·保卫者,5,5,5
split_flights,分裂飞行,70,70,80
battle_forge,战斗锻造,5,7,9
epitaph_barrel,葬铭 枪管,5,5,5
wolf_sledge_set,恶狼战锤 一套,59,60,64
cyngas_set,合成燃气炮 一套,150
fomorian_accelerant,巨人促进剂,5,5,5
primed_firestorm,烈焰风暴 Prime,60,60,60
frost_prime_neuroptics_blueprint,Frost Prime 头部神经光元 蓝图,9,9,9
hit_and_run,脚底抹油,3,4,4
detect_vulnerability,弱点侦测,60,70,70
energy_generator,能量产生器,49,55,55
kavasa_prime_kubrow_collar_blueprint,喀婆萨 Prime 库狛项圈 蓝图,5,5,7
inaros_prime_set,Inaros Prime 一套,59,59,60
live_wire,火线电击,8,9,10
magus_cadence,魔导·韵律,45,49,100
equinox_prime_set,Equinox Prime 一套,50,55,64
magus_replenish,魔导·充盈,7,10,95
ninkondi_prime_set,降灵追猎者 Prime 一套,58,58,64
mesa_prime_blueprint,Mesa Prime 蓝图,5,5,5
sybaris_prime_set,席芭莉丝 Prime 一套,50,65,65
necramech_deflection,殁世机甲 充能,10,10,10
velocitus_set,极速电磁步枪 一套,90,200
niras_contempt,混沌蛇主之鄙,6,7,8
primed_bane_of_corrupted,灭亡 Orokin Prime,55,55,58
bite,咬碎,68,69,70
nova_prime_neuroptics_blueprint,Nova Prime 头部神经光元 蓝图,7,8,8
volatile_variant,易爆变体,59,100,100
runtime,溜之大吉,8,8,8
basin_cay_scene,盆地岛场景,25,50,200
shrapnel_shot,破片射击,6,7,7
jolt,电流震击,55,58,58
stahlta_receiver,钢刃步枪 枪机,6,7,7
primed_chilling_grasp,急冻控场 Prime,50,55,57
steflos_barrel,石晶之花 枪管,5,8,9
stradavar_prime_stock,斯特拉迪瓦 Prime 枪托,7,7,11
primed_continuity,持久力 Prime,49,50,50
tether,束缚力场,5,5,6
primed_expel_infested,驱逐 Infested Prime,60,80,80
titania_prime_neuroptics_blueprint,Titania Prime 头部神经光元 蓝图,5,5,5
primed_shotgun_ammo_mutation,霰弹枪弹药转换 Prime,65,69,70
valkyr_prime_neuroptics_blueprint,Valkyr Prime 头部神经光元 蓝图,5,6,6
chroma_prime_set,Chroma Prime 一套,60,60,60
aerial_prospectus,空中招股,5,9,10
primed_expel_corpus,驱逐 Corpus Prime,60,60,60
astral_slash,星体切砍,5,5,7
nikana_prime_hilt,侍刃 Prime 握柄,58,60,60
ballistica_prime_upper_limb,布里斯提卡 Prime 上弓臂,6,7,8
dual_kamas_prime_blade,双短柄战镰 Prime 刀刃,70,70,120
cernos_prime_string,西诺斯 Prime 弓弦,5,8,8
negate,抵消,49,49,49
chilling_globe,冰封护罩,10,10,10
primed_animal_instinct,动物本能 Prime,50,59,60
comet_blast,彗星爆发,5,5,6
covert_lethality,致命匿杀,3,5,6
primed_dual_rounds,双重弹头 Prime,55,55,55
heavy_caliber,重口径,4,5,5
rhino_prime_set,Rhino Prime 一套,59,60,60
howl,嚎声,5,5,10
turret_velocity,炮台速度,65,65,78
hydraulic_crosshairs,液压准心,5,5,5
energy_conversion,能量转换,45,50,50
ivara_prime_blueprint,Ivara Prime 蓝图,8,8,9
garuda_prime_systems_blueprint,Garuda Prime 系统 蓝图,53,54,54
malicious_code,恶毒指令,7,9,9
hikou_prime_set,飞扬 Prime 一套,50,58,58
necramech_enemy_sense,殁世机甲 敌人感应,4,7,8
primed_smite_infested,毁灭 Infested Prime,70,74,75
necramech_friction,殁世机甲 摩擦,4,5,5
akarius_prime_set,阿利乌双枪 Prime 一套,53,53,55
oberon_prime_blueprint,Oberon Prime 蓝图,5,5,5
cordon,防线封锁,30,30,50
piercing_step,穿刺步伐,4,4,20
dual_decurion_set,什长双枪 一套,35,38,40
pyrana_prime_barrel,食人鱼 Prime 枪管,5,6,6
empowered_blades,强化刀锋,50,50,50
semi_rifle_cannonade,半自动步枪炮轰,5,7,7
health_conversion,生命转换,50,69,69
